F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.1760	1.6646e+005	0.7274	0.7274	0.7274	0.7274	0.0765	
0.1770	1.6626e+005	0.7271	0.7271	0.7271	0.7271	0.0766	
0.1780	1.6606e+005	0.7268	0.7268	0.7268	0.7268	0.0767	
0.1790	1.6586e+005	0.7264	0.7264	0.7264	0.7264	0.0768	
0.1800	1.6566e+005	0.7261	0.7261	0.7261	0.7261	0.0769	
0.1810	1.6545e+005	0.7258	0.7258	0.7258	0.7258	0.0770	
0.1820	1.6525e+005	0.7255	0.7255	0.7255	0.7255	0.0771	
0.1830	1.6505e+005	0.7252	0.7252	0.7252	0.7252	0.0772	
0.1840	1.6485e+005	0.7249	0.7249	0.7249	0.7249	0.0773	
0.1850	1.6465e+005	0.7246	0.7246	0.7246	0.7246	0.0774	
0.1860	1.6444e+005	0.7242	0.7242	0.7242	0.7242	0.0775	
0.1870	1.6424e+005	0.7239	0.7239	0.7239	0.7239	0.0776	
0.1880	1.6404e+005	0.7236	0.7236	0.7236	0.7236	0.0777	
0.1890	1.6384e+005	0.7233	0.7233	0.7233	0.7233	0.0778	
0.1900	1.6364e+005	0.7230	0.7230	0.7230	0.7230	0.0779	
0.1910	1.6343e+005	0.7226	0.7226	0.7226	0.7226	0.0780	
0.1920	1.6323e+005	0.7223	0.7223	0.7223	0.7223	0.0781	
0.1930	1.6303e+005	0.7220	0.7220	0.7220	0.7220	0.0782	
0.1940	1.6283e+005	0.7217	0.7217	0.7217	0.7217	0.0783	
0.1950	1.6263e+005	0.7213	0.7213	0.7213	0.7213	0.0784	
0.1960	1.6242e+005	0.7210	0.7210	0.7210	0.7210	0.0785	
0.1970	1.6222e+005	0.7207	0.7207	0.7207	0.7207	0.0786	
0.1980	1.6202e+005	0.7203	0.7203	0.7203	0.7203	0.0787	
0.1990	1.6182e+005	0.7200	0.7200	0.7200	0.7200	0.0788	
0.2000	1.6162e+005	0.7198	0.7198	0.7198	0.7198	0.0789	
0.2010	1.6141e+005	0.7196	0.7196	0.7196	0.7196	0.0790	
0.2020	1.6121e+005	0.7193	0.7193	0.7193	0.7193	0.0791	
0.2030	1.6101e+005	0.7190	0.7190	0.7190	0.7190	0.0792	
0.2040	1.6081e+005	0.7187	0.7187	0.7187	0.7187	0.0793	
0.2050	1.6061e+005	0.7183	0.7183	0.7183	0.7183	0.0794	
0.2060	1.604e+005	0.7181	0.7181	0.7181	0.7181	0.0795	
0.2070	1.602e+005	0.7178	0.7178	0.7178	0.7178	0.0795	
0.2080	1.6e+005  	0.7175	0.7175	0.7175	0.7175	0.0796	
0.2090	1.598e+005	0.7171	0.7171	0.7171	0.7171	0.0798	
0.2100	1.596e+005	0.7168	0.7168	0.7168	0.7168	0.0799	
0.2110	1.5939e+005	0.7165	0.7165	0.7165	0.7165	0.0800	
0.2120	1.5919e+005	0.7161	0.7161	0.7161	0.7161	0.0801	
0.2130	1.5899e+005	0.7158	0.7158	0.7158	0.7158	0.0802	
0.2140	1.5879e+005	0.7154	0.7154	0.7154	0.7154	0.0803	
0.2150	1.5859e+005	0.7151	0.7151	0.7151	0.7151	0.0804	
0.2160	1.5838e+005	0.7148	0.7148	0.7148	0.7148	0.0805	
0.2170	1.5818e+005	0.7144	0.7144	0.7144	0.7144	0.0806	
0.2180	1.5798e+005	0.7141	0.7141	0.7141	0.7141	0.0808	
0.2190	1.5778e+005	0.7137	0.7137	0.7137	0.7137	0.0809	
0.2200	1.5758e+005	0.7134	0.7134	0.7134	0.7134	0.0810	
0.2210	1.5737e+005	0.7130	0.7130	0.7130	0.7130	0.0811	
0.2220	1.5717e+005	0.7127	0.7127	0.7127	0.7127	0.0812	
0.2230	1.5697e+005	0.7123	0.7123	0.7123	0.7123	0.0813	
0.2240	1.5677e+005	0.7120	0.7120	0.7120	0.7120	0.0814	
0.2250	1.5657e+005	0.7116	0.7116	0.7116	0.7116	0.0815	
0.2260	1.5636e+005	0.7113	0.7113	0.7113	0.7113	0.0817	
0.2270	1.5616e+005	0.7109	0.7109	0.7109	0.7109	0.0818	
0.2280	1.5596e+005	0.7105	0.7105	0.7105	0.7105	0.0819	
0.2290	1.5576e+005	0.7102	0.7102	0.7102	0.7102	0.0820	
0.2300	1.5556e+005	0.7098	0.7098	0.7098	0.7098	0.0821	
0.2310	1.5535e+005	0.7094	0.7094	0.7094	0.7094	0.0822	
0.2320	1.5515e+005	0.7091	0.7091	0.7091	0.7091	0.0824	
0.2330	1.5495e+005	0.7087	0.7087	0.7087	0.7087	0.0825	
0.2340	1.5475e+005	0.7083	0.7083	0.7083	0.7083	0.0826	
0.2350	1.5455e+005	0.7080	0.7080	0.7080	0.7080	0.0827	
0.2360	1.5434e+005	0.7076	0.7076	0.7076	0.7076	0.0828	
0.2370	1.5414e+005	0.7072	0.7072	0.7072	0.7072	0.0830	
0.2380	1.5394e+005	0.7069	0.7069	0.7069	0.7069	0.0831	
0.2390	1.5374e+005	0.7065	0.7065	0.7065	0.7065	0.0832	
0.2400	1.5354e+005	0.7061	0.7061	0.7061	0.7061	0.0833	
0.2410	1.5333e+005	0.7057	0.7057	0.7057	0.7057	0.0834	
0.2420	1.5313e+005	0.7054	0.7054	0.7054	0.7054	0.0836	
0.2430	1.5293e+005	0.7050	0.7050	0.7050	0.7050	0.0837	
0.2440	1.5273e+005	0.7046	0.7046	0.7046	0.7046	0.0838	
0.2450	1.5253e+005	0.7042	0.7042	0.7042	0.7042	0.0839	
0.2460	1.5232e+005	0.7038	0.7038	0.7038	0.7038	0.0841	
0.2470	1.5212e+005	0.7035	0.7035	0.7035	0.7035	0.0842	
0.2480	1.5192e+005	0.7031	0.7031	0.7031	0.7031	0.0843	
0.2490	1.5172e+005	0.7027	0.7027	0.7027	0.7027	0.0844	
0.2500	1.5152e+005	0.7023	0.7023	0.7023	0.7023	0.0846	
0.2510	1.5131e+005	0.7019	0.7019	0.7019	0.7019	0.0847	
0.2520	1.5111e+005	0.7015	0.7015	0.7015	0.7015	0.0848	
0.2530	1.5091e+005	0.7011	0.7011	0.7011	0.7011	0.0849	
0.2540	1.5071e+005	0.7007	0.7007	0.7007	0.7007	0.0851	
0.2550	1.5051e+005	0.7003	0.7003	0.7003	0.7003	0.0852	
0.2560	1.503e+005	0.6999	0.6999	0.6999	0.6999	0.0853	
0.2570	1.501e+005	0.6996	0.6996	0.6996	0.6996	0.0854	
0.2580	1.499e+005	0.6992	0.6992	0.6992	0.6992	0.0856	
0.2590	1.497e+005	0.6988	0.6988	0.6988	0.6988	0.0857	
0.2600	1.495e+005	0.6984	0.6984	0.6984	0.6984	0.0858	
0.2610	1.4929e+005	0.6980	0.6980	0.6980	0.6980	0.0860	
0.2620	1.4909e+005	0.6976	0.6976	0.6976	0.6976	0.0861	
0.2630	1.4889e+005	0.6972	0.6972	0.6972	0.6972	0.0862	
0.2640	1.4869e+005	0.6968	0.6968	0.6968	0.6968	0.0864	
0.2650	1.4849e+005	0.6964	0.6964	0.6964	0.6964	0.0865	
0.2660	1.4828e+005	0.6960	0.6960	0.6960	0.6960	0.0866	
0.2670	1.4808e+005	0.6956	0.6956	0.6956	0.6956	0.0868	
0.2680	1.4788e+005	0.6952	0.6952	0.6952	0.6952	0.0869	
0.2690	1.4768e+005	0.6948	0.6948	0.6948	0.6948	0.0870	
0.2700	1.4748e+005	0.6944	0.6944	0.6944	0.6944	0.0872	
0.2710	1.4727e+005	0.6940	0.6940	0.6940	0.6940	0.0873	
0.2720	1.4707e+005	0.6936	0.6936	0.6936	0.6936	0.0874	
0.2730	1.4687e+005	0.6932	0.6932	0.6932	0.6932	0.0875	
0.2740	1.4667e+005	0.6928	0.6928	0.6928	0.6928	0.0877	
0.2750	1.4647e+005	0.6924	0.6924	0.6924	0.6924	0.0878	
0.2760	1.4626e+005	0.6920	0.6920	0.6920	0.6920	0.0879	
0.2770	1.4606e+005	0.6916	0.6916	0.6916	0.6916	0.0881	
0.2780	1.4586e+005	0.6912	0.6912	0.6912	0.6912	0.0882	
0.2790	1.4566e+005	0.6907	0.6907	0.6907	0.6907	0.0884	
0.2800	1.4546e+005	0.6903	0.6903	0.6903	0.6903	0.0885	
0.2810	1.4525e+005	0.6899	0.6899	0.6899	0.6899	0.0886	
0.2820	1.4505e+005	0.6894	0.6894	0.6894	0.6894	0.0888	
0.2830	1.4485e+005	0.6890	0.6890	0.6890	0.6890	0.0889	
0.2840	1.4465e+005	0.6886	0.6886	0.6886	0.6886	0.0891	
0.2850	1.4445e+005	0.6882	0.6882	0.6882	0.6882	0.0892	
0.2860	1.4424e+005	0.6877	0.6877	0.6877	0.6877	0.0893	
0.2870	1.4404e+005	0.6873	0.6873	0.6873	0.6873	0.0895	
0.2880	1.4384e+005	0.6869	0.6869	0.6869	0.6869	0.0896	
0.2890	1.4364e+005	0.6864	0.6864	0.6864	0.6864	0.0898	
0.2900	1.4344e+005	0.6860	0.6860	0.6860	0.6860	0.0899	
0.2910	1.4323e+005	0.6856	0.6856	0.6856	0.6856	0.0901	
0.2920	1.4303e+005	0.6851	0.6851	0.6851	0.6851	0.0902	
0.2930	1.4283e+005	0.6847	0.6847	0.6847	0.6847	0.0904	
0.2940	1.4263e+005	0.6842	0.6842	0.6842	0.6842	0.0905	
0.2950	1.4243e+005	0.6838	0.6838	0.6838	0.6838	0.0907	
0.2960	1.4222e+005	0.6834	0.6834	0.6834	0.6834	0.0908	
0.2970	1.4202e+005	0.6829	0.6829	0.6829	0.6829	0.0909	
0.2980	1.4182e+005	0.6825	0.6825	0.6825	0.6825	0.0911	
0.2990	1.4162e+005	0.6820	0.6820	0.6820	0.6820	0.0912	
0.3000	1.4142e+005	0.6816	0.6816	0.6816	0.6816	0.0914	
0.3010	1.4121e+005	0.6811	0.6811	0.6811	0.6811	0.0915	
0.3020	1.4101e+005	0.6807	0.6807	0.6807	0.6807	0.0917	
0.3030	1.4081e+005	0.6802	0.6802	0.6802	0.6802	0.0918	
0.3040	1.4061e+005	0.6798	0.6798	0.6798	0.6798	0.0920	
0.3050	1.4041e+005	0.6793	0.6793	0.6793	0.6793	0.0921	
0.3060	1.402e+005	0.6788	0.6788	0.6788	0.6788	0.0923	
0.3070	1.4e+005  	0.6784	0.6784	0.6784	0.6784	0.0925	
0.3080	1.398e+005	0.6779	0.6779	0.6779	0.6779	0.0926	
0.3090	1.396e+005	0.6775	0.6775	0.6775	0.6775	0.0928	
0.3100	1.394e+005	0.6770	0.6770	0.6770	0.6770	0.0929	
0.3110	1.3919e+005	0.6765	0.6765	0.6765	0.6765	0.0931	
0.3120	1.3899e+005	0.6761	0.6761	0.6761	0.6761	0.0932	
0.3130	1.3879e+005	0.6756	0.6756	0.6756	0.6756	0.0934	
0.3140	1.3859e+005	0.6751	0.6751	0.6751	0.6751	0.0935	
0.3150	1.3839e+005	0.6747	0.6747	0.6747	0.6747	0.0937	
0.3160	1.3818e+005	0.6742	0.6742	0.6742	0.6742	0.0939	
0.3170	1.3798e+005	0.6737	0.6737	0.6737	0.6737	0.0940	
0.3180	1.3778e+005	0.6733	0.6733	0.6733	0.6733	0.0942	
0.3190	1.3758e+005	0.6729	0.6729	0.6729	0.6729	0.0943	
0.3200	1.3738e+005	0.6724	0.6724	0.6724	0.6724	0.0945	
0.3210	1.3717e+005	0.6719	0.6719	0.6719	0.6719	0.0946	
0.3220	1.3697e+005	0.6715	0.6715	0.6715	0.6715	0.0948	
0.3230	1.3677e+005	0.6710	0.6710	0.6710	0.6710	0.0949	
0.3240	1.3657e+005	0.6705	0.6705	0.6705	0.6705	0.0951	
0.3250	1.3637e+005	0.6700	0.6700	0.6700	0.6700	0.0953	
0.3260	1.3616e+005	0.6695	0.6695	0.6695	0.6695	0.0954	
0.3270	1.3596e+005	0.6691	0.6691	0.6691	0.6691	0.0956	
0.3280	1.3576e+005	0.6686	0.6686	0.6686	0.6686	0.0957	
0.3290	1.3556e+005	0.6681	0.6681	0.6681	0.6681	0.0959	
0.3300	1.3536e+005	0.6676	0.6676	0.6676	0.6676	0.0961	
0.3310	1.3515e+005	0.6671	0.6671	0.6671	0.6671	0.0962	
0.3320	1.3495e+005	0.6666	0.6666	0.6666	0.6666	0.0964	
0.3330	1.3475e+005	0.6661	0.6661	0.6661	0.6661	0.0966	
0.3340	1.3455e+005	0.6657	0.6657	0.6657	0.6657	0.0967	
0.3350	1.3435e+005	0.6653	0.6653	0.6653	0.6653	0.0969	
0.3360	1.3414e+005	0.6648	0.6648	0.6648	0.6648	0.0970	
0.3370	1.3394e+005	0.6643	0.6643	0.6643	0.6643	0.0972	
0.3380	1.3374e+005	0.6638	0.6638	0.6638	0.6638	0.0974	
0.3390	1.3354e+005	0.6633	0.6633	0.6633	0.6633	0.0975	
0.3400	1.3334e+005	0.6628	0.6628	0.6628	0.6628	0.0977	
0.3410	1.3313e+005	0.6623	0.6623	0.6623	0.6623	0.0979	
0.3420	1.3293e+005	0.6618	0.6618	0.6618	0.6618	0.0981	
0.3430	1.3273e+005	0.6613	0.6613	0.6613	0.6613	0.0982	
0.3440	1.3253e+005	0.6608	0.6608	0.6608	0.6608	0.0984	
0.3450	1.3233e+005	0.6603	0.6603	0.6603	0.6603	0.0986	
0.3460	1.3212e+005	0.6598	0.6598	0.6598	0.6598	0.0988	
0.3470	1.3192e+005	0.6592	0.6592	0.6592	0.6592	0.0989	
0.3480	1.3172e+005	0.6587	0.6587	0.6587	0.6587	0.0991	
0.3490	1.3152e+005	0.6582	0.6582	0.6582	0.6582	0.0993	
0.3500	1.3132e+005	0.6577	0.6577	0.6577	0.6577	0.0995	
0.3510	1.3111e+005	0.6572	0.6572	0.6572	0.6572	0.0996	
0.3520	1.3091e+005	0.6566	0.6566	0.6566	0.6566	0.0998	
0.3530	1.3071e+005	0.6562	0.6562	0.6562	0.6562	0.1000	
0.3540	1.3051e+005	0.6558	0.6558	0.6558	0.6558	0.1001	
0.3550	1.3031e+005	0.6554	0.6554	0.6554	0.6554	0.1002	
0.3560	1.301e+005	0.6549	0.6549	0.6549	0.6549	0.1004	
